job Title,Gender,Count
Help Desk Technician,Female,136
Help Desk Technician,Male,134
HR Manager,Male,92
HR Manager,Non-Conforming,2
HR Manager,Female,75
Human Resources Analyst,Female,145
Human Resources Analyst,Non-Conforming,9
Human Resources Analyst,Male,184
Human Resources Analyst II,Female,250
Human Resources Analyst II,Non-Conforming,11
Human Resources Analyst II,Male,234
Human Resources Assistant I,Female,3
Human Resources Assistant I,Male,7
Human Resources Assistant II,Male,5
Human Resources Assistant II,Female,5
Human Resources Assistant III,Female,8
Human Resources Assistant III,Male,5
Human Resources Assistant III,Non-Conforming,1
Human Resources Assistant IV,Female,4
Human Resources Assistant IV,Non-Conforming,1
Human Resources Assistant IV,Male,5
Human Resources Manager,Female,31
Human Resources Manager,Non-Conforming,1
Human Resources Manager,Male,26
Information Systems Manager,Female,16
Information Systems Manager,Male,15
Information Systems Manager,Non-Conforming,1
Internal Auditor,Female,20
Internal Auditor,Male,20
Junior Trainer,Male,67
Junior Trainer,Non-Conforming,5
Junior Trainer,Female,66
Legal Assistant,Female,11
Legal Assistant,Male,6
Librarian,Female,7
Librarian,Male,13
Marketing Assistant,Female,4
Marketing Assistant,Male,4
Marketing Manager,Female,1
Mechanical Systems Engineer,Non-Conforming,1
Mechanical Systems Engineer,Female,13
Mechanical Systems Engineer,Male,7
Media Manager I,Male,57
Media Manager I,Female,52
Media Manager I,Non-Conforming,2
Media Manager II,Female,20
Media Manager II,Non-Conforming,2
Media Manager II,Male,21
Office Assistant I,Male,2
Office Assistant I,Female,4
Office Assistant IV,Male,1
Operator,Non-Conforming,9
Operator,Male,82
Operator,Female,94
Paralegal,Female,28
Paralegal,Male,20
Paralegal,Non-Conforming,1
Payment Adjustment Coordinator,Female,5
Payment Adjustment Coordinator,Male,11
Pre-Sales Consultant,Non-Conforming,5
Pre-Sales Consultant,Male,93
Pre-Sales Consultant,Female,75
Product Engineer,Male,24
Product Engineer,Female,23
Programmer Analyst I,Male,38
Programmer Analyst I,Female,40
Programmer Analyst I,Non-Conforming,4
Programmer Analyst II,Male,42
Programmer Analyst II,Female,37
Programmer Analyst II,Non-Conforming,1
Programmer Analyst III,Male,41
Programmer Analyst III,Female,27
Programmer Analyst IV,Female,30
Programmer Analyst IV,Male,35
Programmer Analyst IV,Non-Conforming,3
Programmer I,Male,31
Programmer I,Non-Conforming,6
Programmer I,Female,35
Programmer II,Non-Conforming,1
Programmer II,Female,33
Programmer II,Male,36
Programmer III,Female,35
Programmer III,Male,33
Programmer IV,Female,20
Programmer IV,Male,31
Project Manager,Non-Conforming,12
Project Manager,Male,154
Project Manager,Female,112
Quality Control Specialist,Non-Conforming,3
Quality Control Specialist,Male,45
Quality Control Specialist,Female,61
Quality Engineer,Male,33
Quality Engineer,Female,20
Recruiter,Male,98
Recruiter,Female,92
Recruiter,Non-Conforming,5
Recruiting Manager,Female,9
Recruiting Manager,Male,8
Recruiting Manager,Non-Conforming,2
Relationshiop Manager,Male,91
Relationshiop Manager,Female,77
Relationshiop Manager,Non-Conforming,6
Research Assistant,Male,20
Research Assistant,Female,11
Research Assistant I,Male,222
Research Assistant I,Female,203
Research Assistant I,Non-Conforming,9
Research Assistant II,Male,318
Research Assistant II,Female,298
Research Assistant II,Non-Conforming,18
Research Assistant III,Female,7
Research Assistant III,Male,8
Research Assistant IV,Non-Conforming,1
Research Assistant IV,Female,3
Research Assistant IV,Male,3
Research Associate,Non-Conforming,3
Research Associate,Male,82
Research Associate,Female,86
Sales Associate,Female,3
Sales Associate,Male,2
Sales Representative,Female,1
Sales Representative,Male,2
Senior Attorney,Male,19
Senior Attorney,Non-Conforming,1
Senior Attorney,Female,15
Senior Cost Accountant,Male,138
Senior Cost Accountant,Non-Conforming,8
Senior Cost Accountant,Female,117
Senior Developer,Non-Conforming,5
Senior Developer,Male,138
Senior Developer,Female,147
Senior Editor,Male,61
Senior Editor,Female,61
Senior Editor,Non-Conforming,1
Senior Financial Analyst,Male,24
Senior Financial Analyst,Female,25
Senior Quality Engineer,Non-Conforming,2
Senior Quality Engineer,Female,60
Senior Quality Engineer,Male,56
Senior Recruiter,Male,86
Senior Recruiter,Non-Conforming,7
Senior Recruiter,Female,82
Senior Sales Associate,Female,5
Senior Sales Associate,Male,7
Senior Trainer,Female,68
Senior Trainer,Non-Conforming,4
Senior Trainer,Male,81
Service Coordinator,Male,131
Service Coordinator,Non-Conforming,1
Service Coordinator,Female,139
Service Manager,Non-Conforming,6
Service Manager,Female,133
Service Manager,Male,134
Service Tech,Non-Conforming,10
Service Tech,Male,130
Service Tech,Female,124
Service Tech II,Non-Conforming,7
Service Tech II,Female,127
Service Tech II,Male,142
Service Tech III,Non-Conforming,5
Service Tech III,Male,147
Service Tech III,Female,131
Software Consultant,Female,120
Software Consultant,Male,143
Software Consultant,Non-Conforming,8
Software Engineer I,Non-Conforming,8
Software Engineer I,Female,155
Software Engineer I,Male,160
Software Engineer II,Male,41
Software Engineer II,Non-Conforming,2
Software Engineer II,Female,31
Software Engineer III,Female,39
Software Engineer III,Male,43
Software Engineer III,Non-Conforming,1
Software Engineer IV,Female,36
Software Engineer IV,Non-Conforming,1
Software Engineer IV,Male,39
Software Test Engineer I,Male,36
Software Test Engineer I,Female,33
Software Test Engineer I,Non-Conforming,2
Software Test Engineer II,Female,28
Software Test Engineer II,Non-Conforming,3
Software Test Engineer II,Male,27
Software Test Engineer III,Non-Conforming,1
Software Test Engineer III,Female,37
Software Test Engineer III,Male,30
Software Test Engineer IV,Female,33
Software Test Engineer IV,Male,44
Solutions Engineer,Non-Conforming,7
Solutions Engineer,Female,76
Solutions Engineer,Male,96
Solutions Engineer Manager,Female,77
Solutions Engineer Manager,Non-Conforming,3
Solutions Engineer Manager,Male,92
Staff Accountant I,Female,161
Staff Accountant I,Non-Conforming,7
Staff Accountant I,Male,207
Staff Accountant II,Non-Conforming,3
Staff Accountant II,Female,29
Staff Accountant II,Male,36
Staff Accountant III,Female,34
Staff Accountant III,Male,40
Staff Accountant III,Non-Conforming,8
Staff Accountant IV,Female,44
Staff Accountant IV,Non-Conforming,3
Staff Accountant IV,Male,37
Staff Scientist,Non-Conforming,2
Staff Scientist,Male,13
Staff Scientist,Female,13
Statistician I,Male,5
Statistician I,Female,5
Statistician II,Female,7
Statistician II,Male,3
Statistician III,Female,2
Structural Analysis Engineer,Female,17
Structural Analysis Engineer,Male,21
Structural Engineer,Female,118
Structural Engineer,Non-Conforming,9
Structural Engineer,Male,134
Support Staff,Female,34
Support Staff,Male,46
Support Staff,Non-Conforming,4
Support Staff II,Female,18
Support Staff II,Male,27
Support Staff II,Non-Conforming,1
Support Staff III,Female,6
Support Staff III,Male,11
Systems Administrator I,Female,133
Systems Administrator I,Non-Conforming,8
Systems Administrator I,Male,175
Systems Administrator II,Non-Conforming,2
Systems Administrator II,Female,29
Systems Administrator II,Male,31
Systems Administrator III,Non-Conforming,1
Systems Administrator III,Male,43
Systems Administrator III,Female,30
Systems Administrator IV,Male,45
Systems Administrator IV,Female,17
Systems Administrator IV,Non-Conforming,4
Tax Accountant,Female,95
Tax Accountant,Non-Conforming,5
Tax Accountant,Male,138
Trainer I,Male,70
Trainer I,Female,82
Trainer I,Non-Conforming,10
Trainer II,Female,73
Trainer II,Male,82
Trainer II,Non-Conforming,1
Trainer III,Female,63
Trainer III,Non-Conforming,1
Trainer III,Male,82
Training Manager,Non-Conforming,3
Training Manager,Male,79
Training Manager,Female,72
VP Accounting,Male,35
VP Accounting,Female,30
VP Marketing,Female,14
VP Marketing,Male,24
VP of Training and Development,Male,1
VP Product Management,Male,16
VP Product Management,Female,16
VP Product Management,Non-Conforming,1
VP Quality Control,Female,18
VP Quality Control,Male,16
VP Sales,Non-Conforming,1
VP Sales,Female,5
Web Designer I,Male,18
Web Designer I,Female,9
Web Designer II,Male,2
Web Designer II,Non-Conforming,1
Web Designer III,Female,5
Web Designer III,Male,5
Web Designer IV,Male,3
Web Designer IV,Female,4
Web Developer I,Female,38
Web Developer I,Non-Conforming,2
Web Developer I,Male,42
Web Developer II,Male,33
Web Developer II,Female,32
Web Developer II,Non-Conforming,3
Web Developer III,Female,23
Web Developer III,Male,32
Web Developer IV,Male,31
Web Developer IV,Female,27
